2019-03-15 14:52:08,424 | com.altius.automation.Auctionedit |INFO | New group is approved successfully
2019-03-15 15:24:31,253 | com.altius.automation.Auctionedit |INFO | Central office option is selected successfully
2019-03-15 15:24:34,218 | com.altius.automation.Auctionedit |INFO | Valid UN is passed to the UN field
2019-03-15 15:24:35,735 | com.altius.automation.Auctionedit |INFO | Valid password data is passed to the PW field
2019-03-15 15:25:00,586 | com.altius.automation.Auctionedit |INFO | User able to login with Correct UN  &PW
2019-03-15 15:25:01,061 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on module 'Group and confidential report'
2019-03-15 15:25:03,273 | com.altius.automation.Auctionedit |INFO | Mouse is successfully hovered on for transfer screen
2019-03-15 15:25:14,116 | com.altius.automation.Auctionedit |INFO | Mouse is successfully clicked on transfer allocation screen
2019-03-15 15:25:28,035 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 15:25:42,550 | com.altius.automation.Auctionedit |INFO | Chit group is successfully selected
2019-03-15 15:25:54,841 | com.altius.automation.Auctionedit |INFO | Member name is successfully selected
2019-03-15 15:25:59,591 | com.altius.automation.Auctionedit |ERROR | Card is not successfully selected
2019-03-15 15:25:59,694 | com.altius.automation.Auctionedit |ERROR | org.openqa.selenium.InvalidSelectorException: invalid selector: Unable to locate an element with the xpath expression ctl00$cphMainContent$txtSuggestedDate because of the following error:
SyntaxError: Failed to execute 'evaluate' on 'Document': The string 'ctl00$cphMainContent$txtSuggestedDate' is not a valid XPath expression.
  (Session info: chrome=72.0.3626.121)
  (Driver info: chromedriver=2.45.615291 (ec3682e3c9061c10f26ea9e5cdcf3c53f3f74387),platform=Windows NT 6.1.7601 SP1 x86_64) (WARNING: The server did not provide any stacktrace information)
Command duration or timeout: 0 milliseconds
For documentation on this error, please visit: http://seleniumhq.org/exceptions/invalid_selector_exception.html
Build info: version: '3.14.0', revision: 'aacccce0', time: '2018-08-02T20:13:22.693Z'
System info: host: 'ATW-7005', ip: '192.168.1.247', os.name: 'Windows 7', os.arch: 'amd64', os.version: '6.1', java.version: '1.8.0_191'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, acceptSslCerts: false, applicationCacheEnabled: false, browserConnectionEnabled: false, browserName: chrome, chrome: {chromedriverVersion: 2.45.615291 (ec3682e3c9061c..., userDataDir: C:\Users\altius\AppData\Loc...}, cssSelectorsEnabled: true, databaseEnabled: false, goog:chromeOptions: {debuggerAddress: localhost:56910}, handlesAlerts: true, hasTouchScreen: false, javascriptEnabled: true, locationContextEnabled: true, mobileEmulationEnabled: false, nativeEvents: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: XP, platformName: XP, proxy: Proxy(), rotatable: false, setWindowRect: true, strictFileInteractability: false, takesHeapSnapshot: true, takesScreenshot: true, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unexpectedAlertBehaviour: ignore, unhandledPromptBehavior: ignore, version: 72.0.3626.121, webStorageEnabled: true}
Session ID: 64fad052a084f2dc367d2e969a725fb4
*** Element info: {Using=xpath, value=ctl00$cphMainContent$txtSuggestedDate}
2019-03-15 15:25:59,704 | com.altius.automation.Auctionedit |ERROR | Assigned date is not entered
2019-03-15 15:25:59,939 | com.altius.automation.Auctionedit |ERROR | org.openqa.selenium.InvalidSelectorException: invalid selector: Unable to locate an element with the xpath expression ctl00$cphMainContent$txtForemanDate because of the following error:
SyntaxError: Failed to execute 'evaluate' on 'Document': The string 'ctl00$cphMainContent$txtForemanDate' is not a valid XPath expression.
  (Session info: chrome=72.0.3626.121)
  (Driver info: chromedriver=2.45.615291 (ec3682e3c9061c10f26ea9e5cdcf3c53f3f74387),platform=Windows NT 6.1.7601 SP1 x86_64) (WARNING: The server did not provide any stacktrace information)
Command duration or timeout: 0 milliseconds
For documentation on this error, please visit: http://seleniumhq.org/exceptions/invalid_selector_exception.html
Build info: version: '3.14.0', revision: 'aacccce0', time: '2018-08-02T20:13:22.693Z'
System info: host: 'ATW-7005', ip: '192.168.1.247', os.name: 'Windows 7', os.arch: 'amd64', os.version: '6.1', java.version: '1.8.0_191'
Driver info: org.openqa.selenium.chrome.ChromeDriver
